RPM,MAP,Spark Knock R,Spark Knock F,
3387,34.65,0,0,
3390,34.28,0,0,
3392,33.92,0,0,
3399,33.92,0,0,
3388,34.28,0,0,
3398,34.28,0,0,
3406,35.02,0,0,
3402,37.24,0,0,
3411,37.61,0,0,
3410,37.97,0,0,
3414,37.97,0,0,
3419,39.45,0,0,
3435,40.93,0,0,
3436,42.77,0,0,
3443,43.14,0,0,
3447,43.14,0,0,
3455,43.51,0,0,
3470,44.99,0,0,
3472,45.72,0,0,
3479,45.72,0,0,
3487,46.09,0,0,
3494,46.09,0,0,
3502,46.46,0,0,
3507,46.09,0,0,
3516,46.46,0,0,
3522,45.72,0,0,
3531,46.09,0,0,
3533,45.72,0,0,
3545,46.09,0,0,
3554,46.09,0,0,
3561,45.72,0,0,
3567,46.09,0,0,
3570,45.72,0,0,
3579,46.09,0,0,
3583,46.09,0,0,
3595,45.72,0,0,
3595,45.72,0,0,
3606,45.35,0,0,
3611,45.72,0,0,
3617,45.72,0,0,
3635,45.35,0,0,
3634,45.35,0,0,
3643,45.72,0,0,
3646,44.99,0,0,
3656,44.62,0,0,
3669,45.35,0,0,
3667,44.62,0,0,
3683,44.99,0,0,
3681,44.99,0,0,
3696,44.25,0,0,
3695,44.62,0,0,
3716,44.25,0,0,
3709,44.25,0,0,
3724,44.25,0,0,
3728,44.62,0,0,
3731,44.25,0,0,
3746,44.25,0,0,
3746,44.25,0,0,
3759,43.88,0,0,
3758,43.88,0,0,
3769,43.88,0,0,
3770,43.88,0,0,
3775,43.51,0,0,
3786,43.51,0,0,
3782,43.88,0,0,
3793,43.88,0,0,
3804,43.14,0,0,
3820,43.14,0,0,
3821,43.14,0,0,
3829,43.14,0,0,
3831,43.14,0,0,
3841,43.14,0,0,
3845,42.77,0,0,
3850,43.51,0,0,
3859,42.4,0,0,
3862,42.4,0,0,
3862,43.14,0,0,
3865,43.14,0,0,
3869,42.77,0,0,
3877,43.14,0,0,
3881,42.4,0,0,
3886,43.14,0,0,
3898,42.4,0,0,
3903,42.4,0,0,
3901,42.4,0,0,
3913,42.77,0,0,
3913,42.4,0,0,
3919,42.4,0,0,
3929,42.4,0,0,
3932,42.03,0,0,
3935,41.67,0,0,
3940,42.4,0,0,
3943,42.03,0,0,
3947,42.4,0,0,
3950,42.4,0,0,
3959,42.03,0,0,
3961,42.03,0,0,
3965,42.03,0,0,
3968,41.67,0,0,
3973,42.03,0,0,
3976,42.03,0,0,
3979,42.03,0,0,
3984,41.67,0,0,
3988,42.03,0,0,
3992,41.67,0,0,
3991,41.67,0,0,
3997,41.67,0,0,
4004,41.67,0,0,
4006,41.67,0,0,
4011,41.67,0,0,
4013,42.03,0,0,
4016,41.67,0,0,
4023,41.67,0,0,
4019,41.67,0,0,
4031,41.67,0,0,
4031,41.67,0,0,
4036,41.3,0,0,
4039,41.67,0,0,
4050,41.67,0,0,
4042,40.93,0,0,
4052,41.67,0,0,
4056,41.67,0,0,
4053,40.93,0,0,
4062,41.3,0,0,
4065,41.3,0,0,
4064,41.3,0,0,
4074,41.3,0,0,
4073,40.93,0,0,
4072,41.3,0,0,
4079,41.3,0,0,
4089,41.3,0,0,
4088,40.93,0,0,
4090,41.3,0,0,
4090,40.93,0,0,
4092,41.3,0,0,
4095,41.3,0,0,
4100,40.93,0,0,
4107,40.93,0,0,
4104,40.93,0,0,
4111,40.56,0,0,
4117,40.56,0,0,
4107,40.56,0,0,
4120,40.93,0,0,
4121,40.93,0,0,
4120,41.3,0,0,
4132,40.56,0,0,
4130,40.93,0,0,
4135,40.19,0,0,
4138,40.56,0,0,
4143,40.93,0,0,
4150,40.56,0,0,
4151,40.56,0,0,
4168,40.56,0,0,
4154,40.56,0,0,
4164,40.19,0,0,
4162,40.19,0,0,
4168,40.56,0,0,
4167,40.56,0,0,
4169,40.19,0,0,
4174,40.19,0,0,
4173,40.56,0,0,
4173,40.19,0,0,
4178,40.56,0,0,
4174,40.19,0,0,
4179,40.56,0,0,
4189,40.56,0,0,
4188,40.19,0,0,
4191,40.19,0,0,
4198,40.19,0,0,
4195,40.19,0,0,
4198,40.19,0,0,
4201,40.19,0,0,
4209,39.82,0,0,
4208,40.19,0,0,
4218,39.45,0,0,
4215,39.82,0,0,
4216,40.19,0,0,
4218,39.82,0,0,
4224,39.82,0,0,
4220,39.82,0,0,
4224,40.19,0,0,
4225,39.82,0,0,
4224,39.82,0,0,
4228,40.19,0,0,
4232,40.19,0,0,
4236,40.56,0,0,
4233,40.93,0,0,
4236,41.3,0,0,
4240,40.93,0,0,
4243,42.03,0,0,
4243,42.77,0,0,
4249,42.4,0,0,
4243,42.77,0,0,
4253,43.51,0,0,
4253,43.14,0,0,
4254,43.51,0,0,
4256,43.51,0,0,
4262,43.14,0,0,
4266,43.14,0,0,
4267,43.14,0,0,
4269,43.51,0,0,
4271,43.51,0,0,
4274,43.14,0,0,
4274,43.14,0,0,
4281,43.14,0,0,
4283,43.14,0,0,
4286,43.14,0,0,
4293,43.14,0,0,
4291,43.14,0,0,
4293,42.77,0,0,
4297,43.14,0,0,
4304,43.51,0,0,
4303,42.77,0,0,
4310,42.77,0,0,
4312,42.4,0,0,
4310,43.14,0,0,
4316,43.14,0,0,
4319,42.4,0,0,
4322,42.4,0,0,
4320,42.77,0,0,
4330,42.77,0,0,
4327,42.77,0,0,
4333,42.77,0,0,
4325,42.4,0,0,
4335,42.77,0,0,
4332,42.77,0,0,
4340,42.4,0,0,
4359,42.77,0,0,
4352,42.77,0,0,
4353,44.25,0,0,
4357,44.62,0,0,
4356,44.62,0,0,
4363,44.99,0,0,
4363,45.35,0,0,
4366,46.46,0,0,
4371,46.46,0,0,
4378,46.09,0,0,
4378,46.09,0,0,
4383,45.72,0,0,
4387,46.83,0,0,
4389,46.83,0,0,
4394,46.46,0,0,
4405,46.46,0,0,
4406,46.83,0,0,
4407,46.46,0,0,
4420,46.83,0,0,
4428,46.46,0,0,
4437,46.83,0,0,
4427,46.09,0,0,
4433,46.46,0,0,
4435,46.46,0,0,
4439,46.83,0,0,
4445,46.83,0,0,
4449,46.46,0,0,
4451,46.09,0,0,
4462,46.46,0,0,
4462,46.83,0,0,
4461,46.09,0,0,
4469,46.46,0,0,
4472,46.83,0,0,
4476,46.09,0,0,
4477,46.46,0,0,
4486,47.57,0,0,
4489,47.94,0,0,
4489,47.94,0,0,
4494,48.68,0,0,
4502,48.31,0,0,
4505,48.31,0,0,
4507,49.41,0.5,0,
4518,48.68,0.5,0,
4527,51.63,1,0.25,
4528,52.73,1,0.25,
4538,53.1,1,0.25,
4546,53.47,1,0.25,
4553,53.47,1,0.25,
4553,52.73,1,0.25,
4564,52.73,1,0.25,
4567,53.47,1,0.25,
4578,54.21,1,0.25,
4586,54.95,1,0.25,
4586,55.69,1,0.25,
4596,54.21,1,0.25,
4601,54.58,1,0.25,
4610,56.42,1,0.25,
4611,56.79,1,0.25,
4618,56.79,1,0.25,
4631,55.69,1,0.25,
4637,56.06,1,0.25,
4639,56.42,1,0.25,
4649,56.06,1,0.25,
4655,56.06,1,0.25,
4657,56.42,1,0.25,
4667,56.06,1,0.25,
4675,56.42,1,0.25,
4680,56.06,1,0.25,
4687,54.95,1,0.25,
4687,55.32,1,0.25,
4700,56.06,1,0.25,
4706,55.69,1,0.25,
4714,55.69,1,0.25,
4715,55.69,1,0.25,
4721,56.06,1,0.25,
4728,57.16,1,0.25,
4731,56.79,1,0.25,
